Date_Time,Shape,Duration,City,State,Latitude,Longitude,Comments
11/19/2012 12:13,Circle,5 seconds,Cleveland, OH,41.45678541,-81.64169685,"I was outside on my backyard porch looking up into the sky: I then saw a circular shaped object, with bright lights, moving at speeds greater than any known military aircraft.  The UFO was seen for about 3 seconds with the bright lights visible and after that about 3 seconds it turned off the lights and while proceeding to travel in the same direction at the same speed. I could then still see a slight visual of the aircraft for about 2 more seconds.  Then that's when i no longer saw the aircraft."
11/19/2012 11:50,Disk,7 seconds,Saugerties/Kingston, NY,42.07793069,-73.95227014,"Rocking, slow moving disk high in sky visible due to reflected sunlight  I was traveling south on the New York State Thruway between exits 20 (Saugerties) and 19 (Kingston).  The sun was quite bright overhead - not visible to me.  Ahead of me were high flying clouds approaching from the south (they then totally dispersed, on the trip back they were nowhere to be seen.)  These were, again, HIGH flying clouds.  I was going 62 miles per hour (I know this because I watch my speedometer carefully and the car in front of me was a bit slower than usual).  I had reached (approximately) the mid-way point (mile marker 96-95) between Saugerties and Kingston exits which are eight miles from one another.  I&#8217;m unsure the exact direction since the road has many wide curves but it was the southbound lane (two lane thruway, I was in the right hand lane).  It was approximately 11:50 AM (I checked the car clock a couple of minutes later at 11:54).  I noticed a very bright, gleaming object reflecting sunlight.  It appeared in the sky immediately to my left in front of me (impossible to know how high it was.)  It was not low flying, it had no wings or rotors, and if it were at a cruising altitude of a commercial airliner, it would have been huge.  It flew much higher than a small plane could or any helicopter, it was not a dirigible or anything easily identifiable.  As directed, if I had to compare i! ts size to that of the sun (mid-day) it appeared flatter top and bottom, and perhaps 3/4 as wide.  It drifted &quot;slowly&quot; (in an easy manner) more toward the center of my windshield (this all took place in 7 to 10 seconds), stopped, rocked two times (like a plane rocking its wings) and slowly and smoothly went back to the original position.  It was metallic (which caused the sun to reflect off it as I stated) and shaped rather like a disc (saucer).  The road then curved widely and treed area came between me and that portion of the sky for several seconds (perhaps another eight) before I could get a glimpse of that piece of the sky again (which was extremely identifiable because of the formation of high flying clouds in an otherwise crystal blue sky).  The object was no longer visible.   When I reached my destination and parked, it so happened that the formation of clouds was directly in my line of vision.  I was able, standing still, to see that they were quite high.  A commercial jetliner was climbing to cruising altitude (I am 40 miles from both Albany and Newburgh airports, so planes climbing are commonly seen).  The plane appeared to be almost at cruising altitude and was quite high.  It entered the cloud structures and I lost sight of it.  I believe that the object I saw while driving also got &quot;lost&quot; into the cloud structure which explains why it was suddenly no longer visible (as the plane was suddenly no longer visible).  This suggests to me that the object I saw was flying as high as, or close to, the altitude of the commercial jetliner (since the same formation of clouds provided cover for both, once entered).   The most interesting aspect was the &quot;rocking,&quot; a lazy but precise maneuver, before it went back toward the direction where I had first seen it.  It was oval, as I said, rather like ( ) but with brackets top/bottom and very bright due to reflected sunlight.  It was obviously under control (the rocking indicates that to me) and was being deliberately maneuvered.   ((NUFORC Note:  We spoke with this witness, and she seemed to us to be quite eloquent and sincere in her description of her sighting.  We suspect that she is a highly reliable witness.  PD))"
11/19/2012 1:30,Light,5-6 minutes,Laie, HI,21.64554165,-157.9322029,"1 orange spotlight multiplied to 13 gradually and shined on 2 witnesses as they fled.  Started with 1 bright white, flashed to orange spotlight, then turned off, then reappeared with more lights as they disappeared in a pattern until there were about 13.  Shined brightly on the two witnesses as they fled Hukilau beach."
11/19/2012 0:35,Triangle,7-10 seconds,New York City (Brooklyn), NY,43.1036548,-75.28995321,"Silent V-Shaped Craft seen flying over Brooklyn NY!  I live in Brooklyn, New York.  Right across the East River in Williamsburg, giving me a clean shot of the Lower East Side, Manhattan and the surrounding skyline from the roof top of my apartment building.  To the Northeast I can see the Queens-based La Guardia airport and almost directly South is JFK.  I sit outside a few times every night to have a cigarette and pay very close attention to the sky and I know what conventional aircraft look like.  Since it&#8217;s NYC I&#8217;ve seen plenty of military craft as well, aircraft that the normal Joe-Schmoe doesn&#8217;t see every day.  Anything from F16 Fighter Jets, Sikorsky VH-3D Helicopters (when the President is in town), Chinook helicopters and once I even saw an Osprey flying over the East River Harbor.  Long story short, I&#8217;m very used to seeing unconventional craft in the sky as well.  I stepped outside onto my roof for a cigarette around 12:30am, as I normally do (since I don&#8217;t smoke inside my apartment) and when I looked up, I noticed how bright the stars were.  There aren&#8217;t many nights in New York City when the stars are visible.  There wasn&#8217;t a cloud in the sky and I was enjoying being able to see Orion&#8217;s Belt as I puffed away.  Then it came into my line of vision.  A very mysterious craft or UFO that flew directly over my head!  Now I can see planes flying into both Airports nearby and not once has any commercial flight flown directly overhead of my building.  If this craft was the size of a normal commercial flight, then it was flying at a severely low altitude.   It was very hard to comprehend the size, especially because there was no noise.  If it was a large commercial flight then it was way too low for FAA regulations, especially this close to Ground Zero (9/11).  The best explanation from what I directly witnessed, is it was flying at a high alt! itude and was just immensely huge, possibly the length of a football field.  It was in my line of vision for around 7-10 seconds before it disappeared behind the Williamsburg Bridge.  I ran down the fire escape on the side of my building praying that I would catch a glimpse of it again once it passed the bridge, or at least see some FAA lights.  Nothing.  It was gone, as so were my chances to photograph it.  The best way to describe it is the typical V-Shape that is pretty common in UFO sightings.  There were 5 lights.  One at the tip, then two down each side, perfectly symmetrical and at a perfect angle.  The lights were very large, circular and the light emitted was diffused, almost as if they were behind a haze.  Remember it was clear enough to see Orion&#8217;s Belt directly across from Manhattan, so it was a crystal clear night.  Other planes that were further away by miles had sharper looking lights and were more visible.   I was glad that I was looking at the stars or I would have never seen it because of how muted it was.  There were NO FAA lights on it whatsoever.  No headlights, no beacon lights, no red lights and definitely nothing flashing.  The lights that were present were a very soft white-yellowish color and did NOT flash. The body looked to follow the contours of the lights although it was hard to make out a solid surface.  It was almost like you could see through the! craft while just making out the signatures of its edges but I couldn&#8217;t see the stars behind it.  There was no sound what so ever.  It seemed to fly at a high speed very effortlessly.  When I had realized what I had seen it took my breath away.  My heart jumped straight up into my throat and I actually had a hard time breathing for a minute and I think I mumbled the &#8220;f&#8221; word to myself a few times.  I am 100% convinced that what I saw, I was not supposed to have seen.  It was very faint, lasted only for a few seconds, and was unlike anything I&#8217;ve ever seen in the night sky or in my life for that matter.  I&#8217;m not saying that it was extraterrestrial, but if it wasn&#8217;t then it was some sort of top-secret aircraft that hasn&#8217;t been disclosed by the government.  It is something that I will remember for the rest of my life."
11/18/2012 21:50,Chevron,45 seconds,North Andover, MA,42.70714444,-72.43063065,Dull chevron shaped object with dim lights gliding across night sky. No noise attached.  While looking for Leonid showers on my porch.  I noticed a dully lit chevron shaped object which at first appeared like a moving constellation of shiny stars moving pretty slow and steady across the sky.  There was very little to almost no noise accompanying it.  It wasn't very noticeable would really have to be paying attention.  I looked up satellites and space station tracking maps and nothing that I could find was in the area.
11/18/2012 21:30,Rectangle,3-5 minutes,Bellingham, WA,48.76271969,-122.4543827,"It appeared to be a rectangular docking station seen in Washington State  UFO Sighting - 11/18/2012 - Bellingham, WA - 9:30pm - Top of Yew Street Road Hill Description:  Retangular in shape, 2 columns of three white lights-not blinking-moving in  unison across sky.  The object moved sideways very slowly in a Northwest direction.  It seemed to be gliding the way a balloon would glide.  Then all six white lights got very bright (like high-beams on a car)  and a little red light appeared from the south and approached the object.  The red light seemed to 'dock' inside of the bottom white light on the right hand column.  The object went back to low-beams just before the red light docked and it continued in a northwest direction.  Size:  fold a dollar bill in half and hold it at arms length in front of you.   That's how big it appeared to be in the sky.  (very big)  Was about 30 degrees off horizon.  Duration: about 3 to 5 minutes before it disappeared behind the trees.  Only my dog and I were present.  odd note:  wind had been blowing really hard just before it appeared, then wind was calm.   After it left, the wind blew really hard again.   The object made no noise at all."
11/18/2012 21:05,Fireball,1-2 minutes,Roswell, GA,34.01465617,-84.34031652,"Reddish Orange fireballs over Roswell Georgia  My sighting started at approximately 9:05pm EST.  I was on the back porch of my home looking to the north,north east , away from the moon which was approximately 180 degrees the other direction and below the tree line. This is my largest view of the night sky as i am mostly surrounded by very tall trees.  I was sitting facing this direction and noticed 2 bright reddish orange lights emerging over the tree line at 30 degrees off compass north, which is my horizon and the lowest tree line in sight.  The lights appeared about an inch apart from my point of view moving from what appeared to be an East to West bearing.  The lights were bright but not as bright as Jupiter which was off to my right which i see regularly and is often the brightest object in the sky other than the moon.  The sky was completely clear, and i could see stars on the tree line/ horizon in the background, as well as a few passing/blinking planes in the same approximate area as for comparison. I am very familiar with the air traffic around this area and am very familiar with the the flight paths over this area as it seems to be a relatively high traffic area for planes.  However this was nothing like anything i have seen for myself before.  The 2 lights we diverging and disappeared in about 10-15 seconds.  They seemed to be ascending horizontally rather than any sort of decent, as possibly a flare would have, and were moving at a steady rate.   The relation to each other was about 12 o&#8217;clock and 5 o! &#8217;clock top to bottom, as if a plane was on an extremely high banking maneuver, although the lights seemed much too far apart and to quickly moving to be one object.  I quickly determined that these lights were not connected because they seemed to be drifting apart from one another while holding their bearing of East to West while moving at their own independent rates of speed.  When i stood up out of curiosity and took about 3 steps forward, about 10-15 sec later, 3-4 more of the same objects appeared as the 2 before over the same spot heading in the same direction.  My house is situated on a hill and i immediately went up the hill to gain a better perspective and as i did a total of 6-7 lights appeared moving in this similar direction.  I grabbed my iPhone and began recording what i could.  It was completely dark so i didn't know if they would show up or not, but despite the neighbor&#8217;s patio light glaring against the camera i managed to capture s few of the lights.  Unfortunately i stopped recording on accident when i starting moving up the stairs to the top of the hill, so when i got to the top i started another recording.   Although ! you can make out some of the lights in the video it really does no justice to the sighting as i was filming on a phone at night and had a bad glare.  I happen to be a videographer/ video editor and hesitate to post the footage due to its poor quality even though some of the lights are visible in the video it is certainly not a definitive piece of evidence in any way as to what these lights were or really even their bright reddish orange color. Mostly it will serve as documentation to myself that it actually happened.  With in about a minute all of the lights disappeared in front of me, not in any kind of sequence and although they were flying in some sort of formation relative to one another,  there was no recognizable pattern.  These lights were not blinking but had some sort of vague pulsing regularity that never stopped until they disappeared.  There was also no noise whatsoever before the sighting, during or after.  I stayed for about 20 min examining the sky for any further explanation but had no further sightings."
11/18/2012 20:15,Triangle,19:00,College Place, WA,46.04604466,-118.3849956,"Stationary streetlight looking craft/tri-lit orange/green/red UFO hovering through College Place, WA  Walking down the street looking at the sky when I noticed a single star in the sky, slightly resembling a streetlight. It was cloudy out, so it struck me as sort of odd that the one single star shown so brightly. I experienced a psychedelic flashback while staring at the &amp;quot;star&amp;quot; and walking, where I was trapped walking in place(the road beneath me was moving, and a fence I was walking by was still panning past me), and the star seemed to be the only object that was normal within that period, which seemed like eternity.  Terrified, the thought of the star being a UFO and inducing my trip occurred to me and I was able to come out of that state. I'd been observing the star for a good 4 minutes. After, I'd walked past a tree that had blocked my view of the object, and once passed the obstacle, the star was gone.  I looked around the sky a bit and found it slowly hovering to the north of me, the size of an aspirin at arms length, with the orange streetlight glow dimmed and a green and red light added to it in a triangle formation. I watched as it slowly flew over head for a good 01:10-15(minute:second) until it faded into some clouds. I continued looking for it, and noticed it reappear in the distance 2:10 later, half the size, moving at the same speed for about 10 seconds.  Throughout the period of the craft moving, there was a sound similar to an airplane, only it seemed to be coming from the ground. The object was too slow to be an airplane, and had a sort of hazy greenish glowing ring around it."
11/18/2012 19:52,Formation,2 minutes,Terre Haute, IN,39.54301804,-87.3604693,Nearly invisible object flying in the sky.  I was standing outside looking up into the sky when I noticed a very faint object. At first I thought it was just a flock of birds but noticed it was much higher and there was no sound. It was heading south and was barely noticeable.  There were no lights and no sound.  It looked like 7 objects flying in a perfect &amp;quot;v&amp;quot; formation because the objects were faint enought to see but nothing else was visible.
11/18/2012 19:20,Fireball,2 minutes,Russell Springs, KY,37.04976149,-85.07448448,Orange fireball passes directly overhead in southern KY  At approximately 7:15pm on 11/18/12 we observed in the sky a ball of fire moving from the north to the south.  I came almost directly overhead maybe 800 to 1000 feet off the ground.    I first thought it was an airplane on fire as it was moving toward local airport.  As it came overhead you could see that there was no structure on fire but just this huge ball of fire moving silently through the sky.    As it went on to the south it appeared to veer to the right moving westward and continued until it went out of sight over the horizon.    This thing cast an immense glow and you could see the flames jumping and flickering.  You would expect to hear something as you would with any other craft passing overhead but it was silent.    My ex-wife who is an RN witnessed this also.  She spotted it first.  I am a college graduate and am mostly skeptical of any UFO reports.    This was truly unexplainable.
